order_id,order_date,region,product,quantity,revenue,load_timestamp
ORD-1001,2026-08-02,West,Widget A,5,249.95,2026-08-03T09:15:00Z
ORD-1002,2026-08-02,East,Widget B,2,89.98,2026-08-03T09:16:00Z
ORD-1003,2026-08-02,South,Widget A,10,499.90,2026-08-03T09:17:00Z
ORD-1004,2026-08-01,North,Widget C,1,59.99,2026-08-03T09:18:00Z
ORD-1005,2026-08-02,West,Widget B,3,134.97,2026-08-03T09:20:00Z
ORD-1006,2026-08-02,,Widget A,4,199.96,2026-08-03T09:21:00Z
ORD-1007,2026-08-02,East,Widget C,2,-19.99,2026-08-03T09:22:00Z
ORD-1008,2026-07-31,South,Widget B,6,269.94,2026-08-01T08:00:00Z
ORD-1009,2026-08-02,North,Widget A,5,249.95,2026-08-03T09:25:00Z
ORD-1010,2026-08-02,West,Widget C,3,179.97,2026-08-03T09:27:00Z
ORD-1011,2026-08-02,East,Widget A,8,399.92,2026-08-03T09:29:00Z
ORD-1003,2026-08-02,South,Widget A,10,499.90,2026-08-03T09:31:00Z
